date,iso_a3,name,dollar_price,gdp_dollar,pred,value_gdp_adjusted
2020-07-01,IDN,Indonesia,2.35538621406304,3870.562,2.6709335708516457,-0.21223960734591774
2020-07-01,USA,United States,5.71,62868.917,5.100716754075379,-0.21223960734591774
